"","GearID","IndvID","Species_Name","Total_Length_mm","Total_Length_in","Weight_grams"
"1",7628,48386,"Lake sturgeon",626,24.6456692913386,1300
"2",7628,48387,"Lake sturgeon",551,21.6929133858268,800
"3",7628,48388,"Lake sturgeon",581,22.8740157480315,900
"4",7628,48389,"Lake sturgeon",530,20.8661417322835,700
"5",7628,48390,"Lake sturgeon",575,22.6377952755906,900
"6",7628,48391,"Lake sturgeon",555,21.8503937007874,NA
"7",8648,58145,"Lake sturgeon",334,13.1496062992126,NA
"8",8661,58155,"Lake sturgeon",594,23.3858267716535,936
"9",8666,58180,"Lake sturgeon",655,25.7874015748032,1419
"10",8759,61416,"Lake sturgeon",800,31.496062992126,2769
"11",5806,28709,"Lake sturgeon",600,23.6220472440945,NA
"12",5814,28712,"Lake sturgeon",530,20.8661417322835,NA
"13",5825,28729,"Lake sturgeon",500,19.6850393700787,NA
"14",5830,28732,"Lake sturgeon",378,14.8818897637795,300
"15",5830,28733,"Lake sturgeon",678,26.6929133858268,1300
"16",5830,28734,"Lake sturgeon",591,23.2677165354331,900
"17",6486,30068,"Lake sturgeon",668,26.2992125984252,1550
"18",6486,30069,"Lake sturgeon",651,25.6299212598425,1500
"19",6568,30085,"Lake sturgeon",620,24.4094488188976,NA
"20",6588,30089,"Lake sturgeon",614,24.1732283464567,1100
"21",6587,30090,"Lake sturgeon",791,31.1417322834646,2900
"22",6605,30106,"Lake sturgeon",534,21.0236220472441,600
"23",6605,30107,"Lake sturgeon",658,25.9055118110236,1350
"24",6605,30108,"Lake sturgeon",640,25.1968503937008,1300
"25",6605,30109,"Lake sturgeon",513,20.1968503937008,550
"26",6605,30111,"Lake sturgeon",437,17.2047244094488,250
"27",6629,30123,"Lake sturgeon",986,38.8188976377953,5500
"28",6632,30138,"Lake sturgeon",658,25.9055118110236,1450
"29",6632,30139,"Lake sturgeon",451,17.755905511811,500
"30",6632,30140,"Lake sturgeon",610,24.0157480314961,1000
