"","JanTempsAll","JanYearsAll"
"1",54,2011
"2",25,2011
"3",33,2011
"4",32,2011
"5",23,2011
"6",26,2011
"7",19,2011
"8",22,2011
"9",27,2011
"10",25,2011
"11",26,2011
"12",27,2011
"13",25,2011
"14",23,2011
"15",26,2011
"16",18,2011
"17",30,2011
"18",34,2011
"19",22,2011
"20",23,2011
"21",14,2011
"22",16,2011
"23",13,2011
"24",29,2011
"25",29,2011
"26",29,2011
"27",27,2011
"28",29,2011
"29",26,2011
"30",24,2011
"31",18,2011
"32",44,2012
"33",29,2012
"34",23,2012
"35",36,2012
"36",42,2012
"37",53,2012
"38",44,2012
"39",38,2012
"40",42,2012
"41",47,2012
"42",50,2012
"43",37,2012
"44",26,2012
"45",22,2012
"46",24,2012
"47",42,2012
"48",40,2012
"49",24,2012
"50",27,2012
"51",17,2012
"52",22,2012
"53",36,2012
"54",48,2012
"55",32,2012
"56",32,2012
"57",36,2012
"58",40,2012
"59",33,2012
"60",29,2012
"61",41,2012
"62",53,2012
"63",25,2013
"64",26,2013
"65",29,2013
"66",33,2013
"67",35,2013
"68",35,2013
"69",35,2013
"70",38,2013
"71",45,2013
"72",44,2013
"73",55,2013
"74",58,2013
"75",40,2013
"76",26,2013
"77",29,2013
"78",34,2013
"79",33,2013
"80",35,2013
"81",45,2013
"82",41,2013
"83",15,2013
"84",10,2013
"85",17,2013
"86",16,2013
"87",20,2013
"88",27,2013
"89",30,2013
"90",43,2013
"91",57,2013
"92",56,2013
"93",27,2013
"94",14,2014
"95",13,2014
"96",13,2014
"97",31,2014
"98",29,2014
"99",16,2014
"100",2.1,2014
"101",17,2014
"102",21,2014
"103",39,2014
"104",41,2014
"105",39,2014
"106",44,2014
"107",37,2014
"108",27,2014
"109",28,2014
"110",30,2014
"111",21,2014
"112",29,2014
"113",30,2014
"114",9.1,2014
"115",11,2014
"116",13,2014
"117",19,2014
"118",25,2014
"119",25,2014
"120",15,2014
"121",8.2,2014
"122",19,2014
"123",28,2014
"124",31,2014
"125",29,2015
"126",34,2015
"127",33,2015
"128",32,2015
"129",14,2015
"130",17,2015
"131",13,2015
"132",13,2015
"133",15,2015
"134",16,2015
"135",31,2015
"136",27,2015
"137",15,2015
"138",19,2015
"139",31,2015
"140",32,2015
"141",45,2015
"142",39,2015
"143",33,2015
"144",31,2015
"145",28,2015
"146",30,2015
"147",32,2015
"148",37,2015
"149",33,2015
"150",26,2015
"151",27,2015
"152",31,2015
"153",32,2015
"154",23,2015
"155",33,2015
"156",29,2016
"157",35,2016
"158",33,2016
"159",27,2016
"160",29,2016
"161",36,2016
"162",42,2016
"163",39,2016
"164",42,2016
"165",38,2016
"166",16,2016
"167",23,2016
"168",18,2016
"169",34,2016
"170",42,2016
"171",33,2016
"172",26,2016
"173",15,2016
"174",21,2016
"175",22,2016
"176",26,2016
"177",29,2016
"178",26,2016
"179",32,2016
"180",40,2016
"181",43,2016
"182",29,2016
"183",34,2016
"184",29,2016
"185",47,2016
"186",49,2016
